Dates,EE0003M Index,US0003M Index,AGGR,ULTR,SHOR,INTE,PREF,MORT,LONG,INFL,INVE,HIGH,CONV,CORP,MUNI,GOVE,BANK
11/02/2020,-0.43114,1.70725,674.2678,145.9751,126.5418,327.556,49.8601,647.6623,106.3937,2.1501,1879.423,765.4436,13.348,1183.363,1183.363,67.2802,17.4
12/02/2020,-0.43271,1.70375,367.9209,82.1851,1.885,247.1508,82.9821,412.3828,118.56,29.7678,1236.143,359.3603,-7.7094,742.2121,742.2121,73.8127,32.798
13/02/2020,-0.43429,1.69163,637.6868,189.7359,172.5718,99.4755,9.15,320.476,181.6983,-10.8619,1135.279,-197.1896,29.7413,-75.5841,-75.5841,58.3671,0.6555
14/02/2020,-0.43557,1.69175,620.7713,166.7026,378.5309,220.4918,28.275,7.861,259.817,92.6032,1189.55,-231.1977,41.7933,1.8863,1.8863,53.9111,0.6557
17/02/2020,-0.43371,1.69288,620.7713,166.7026,378.5309,220.4918,28.275,7.861,259.817,92.6032,1189.55,-231.1977,41.7933,1.8863,1.8863,53.9111,0.6557
18/02/2020,-0.43343,1.69463,571.8281,-190.5204,213.82,217.5608,39.799,76.5922,150.4435,2.7997,586.4184,-249.2644,8.8842,-391.1314,-391.1314,59.2289,-243.7452
19/02/2020,-0.43329,1.696,390.6893,28.6251,231.5749,135.2947,83.7764,188.0245,193.1692,-1.8086,710.594,186.4367,-30.1491,79.1446,79.1446,138.5787,-243.7452
20/02/2020,-0.44043,1.68275,635.1443,48.1617,219.6958,129.4777,24.6815,115.2498,30.5819,47.4811,732.8235,-409.5383,18.0844,-710.5477,-710.5477,77.2477,-4.4917
21/02/2020,-0.44086,1.67925,20.6134,-324.6508,62.4143,-145.2184,27.0831,39.8571,391.2881,23.1958,578.5601,-850.0157,-24.7228,-566.1455,-566.1455,211.1081,-384.159
24/02/2020,-0.44086,1.64663,598.5819,-125.3418,133.5154,362.321,-11.6221,28.7705,-190.2205,3.6734,1254.897,-1091.97,-17.5079,-502.3864,-502.3864,92.716,-93.103
25/02/2020,-0.45029,1.63763,515.1002,-196.2021,149.7585,1176.309,-100.7799,83.4797,299.6247,14.2107,1623.359,-1814.356,-34.3814,-1867.825,-1867.825,138.239,-133.312
26/02/2020,-0.45571,1.61325,392.8237,-280.0631,450.4546,1724.337,-115.5465,-16.5714,-114.5924,-15.114,2017.48,-2258.749,-17.0911,-2112.19,-2112.19,47.8207,-283.497
27/02/2020,-0.45957,1.58038,378.7395,-396.828,-293.9802,530.0855,-29.9368,-149.8266,-64.8816,-96.8913,-538.7635,-1243.097,-38.8489,-1289.798,-1289.798,20.0214,-197.6301
28/02/2020,-0.47129,1.46275,413.2522,-1.4991,339.7698,-138.844,-75.2675,13.5222,110.5176,-183.8259,-453.4762,-849.8499,-55.185,-1574.678,-1574.678,-74.5404,-223.4352
02/03/2020,-0.49443,1.25375,2118.14,418.9712,1493.743,1411.499,-5.1821,4.703,776.867,412.5035,4589.35,653.6807,-55.185,729.6167,729.6167,-116.3879,-141.1102
03/03/2020,-0.48714,1.31425,989.4328,219.5674,642.9271,497.8627,-10.5592,128.1295,411.4929,518.4076,2886.041,1147.767,13.304,1549.3,1549.3,24.5999,-100.1027
04/03/2020,-0.49157,1.00063,550.7661,290.4993,223.7148,162.0615,-4.9532,-142.8665,-107.528,267.4528,1359.344,660.746,13.0123,1006.56,1006.56,-48.6275,-30.4155
05/03/2020,-0.49657,0.99888,468.1309,124.7341,285.765,62.5903,-8.3785,7.7187,-77.6508,30.2307,858.8254,-1395.631,61.3303,-855.2143,-855.2143,-113.6133,-19.9128
06/03/2020,-0.51829,0.896,-277.7297,-409.3264,118.2054,84.7969,-86.2475,-198.8495,22.7734,94.2231,-1119.232,-980.1759,21.9685,-1855.251,-1855.251,20.0234,-44.7844
09/03/2020,-0.526,0.76813,-1008.377,1119.145,2268.335,-1010.644,-84.2444,31.218,-315.0633,-140.088,1783.548,241.6109,-60.5285,-125.0167,-125.0167,77.4824,-57.8722
10/03/2020,-0.50957,0.78413,-304.1014,791.324,866.4937,-229.0838,-178.308,-230.616,103.8866,-481.7506,627.1615,-1237.813,-47.6193,-1866.76,-1866.76,-2.9297,-214.7261
11/03/2020,-0.53914,0.7725,-1240.934,-226.9385,-7.9917,-1120.108,-95.5194,-398.44,-450.9072,-527.7419,-4617.164,3.2007,-60.5657,-754.1829,-754.1829,-76.8425,-43.5251
12/03/2020,-0.52143,0.7405,-1838.524,2016.869,-539.956,-1332.519,-257.8692,-449.2995,-489.1445,-576.7558,-3674.61,-184.7409,-61.1792,-2391.362,-2391.362,-231.3505,-94.5751
13/03/2020,-0.42729,0.84313,-3089.513,1044.556,-691.7337,-1061.164,-105.2525,-634.4233,-659.0098,-694.3734,-4418.577,-541.5068,-47.9008,-1459.069,-1459.069,-302.8124,-45.8466
16/03/2020,-0.41971,0.88938,-2066.691,618.4608,-329.4241,-857.7085,-147.1621,-21.4438,-906.2161,-487.6021,-3077.454,178.8521,-31.6594,-798.5284,-798.5284,-214.608,-46.2226
17/03/2020,-0.39543,1.05188,-1814.465,-315.6807,-616.6822,-719.7283,-106.4213,0.0494,-192.8116,-156.1321,-2997.029,141.1136,-45.3337,-678.6659,-678.6659,-415.0881,-126.0687
18/03/2020,-0.38514,1.11575,-2708.203,327.6752,-310.1551,-1255.298,-222.425,-97.3562,-1965.848,-320.3585,-3733.738,-30.0187,-47.3289,-66.0771,-66.0771,-291.1501,-56.6934
19/03/2020,-0.37657,1.19513,-3384.648,-400.1533,-77.453,-839.2707,-148.3388,-133.5685,-1276.906,-87.0599,-4197.877,379.9709,-29.6898,158.9302,158.9302,-343.7021,-56.6706
20/03/2020,-0.353,1.20413,-1893.161,347.6975,161.464,-1286.257,-52.6492,-481.7966,-957.6776,-79.5321,-994.9363,117.3556,-25.7852,851.2401,851.2401,-52.1126,-25.5779
23/03/2020,-0.31,1.21563,-749.0586,267.9227,15.3022,-496.6699,-159.7515,-218.0488,169.4012,-228.3098,351.5732,-826.8788,-4.3286,-72.6308,-72.6308,-203.2696,-16.81
24/03/2020,-0.31686,1.23238,-615.2337,-104.1938,613.6063,48.3906,-9.2827,-76.9147,-132.0551,-170.53,1214.184,324.043,-13.654,1712.109,1712.109,-4.3033,18.9065
25/03/2020,-0.30771,1.267,70.2498,-89.6398,220.5565,210.3637,52.8726,-138.588,-51.8152,-75.3951,1071.108,1396.416,-16.89,2199.692,2199.692,45.8464,117.919
26/03/2020,-0.29571,1.37463,-101.3008,67.3851,239.6989,-315.3743,36.3846,-35.546,-578.491,-140.7895,574.292,861.8169,-18.4852,2146.412,2146.412,-22.6819,66.1964
27/03/2020,-0.28914,1.45013,-863.6102,-387.0043,-4120.603,-19.9126,-17.5956,16.9432,-26.9844,-19.8606,-3386.066,120.1983,-18.4852,1323.846,1323.846,-8.1623,-42.4577
30/03/2020,-0.26471,1.43338,215.4774,-101.7352,653.5619,-149.9598,3.239,-19.5855,13.7246,-225.1175,1460.154,499.6703,-18.4852,1497.623,1497.623,-34.3712,-16.4705
31/03/2020,-0.25471,1.4505,104.0604,522.7728,215.7668,24.874,8.0874,-0.0329,-78.9755,-276.2964,808.1644,75.1167,-5.5276,178.0718,178.0718,18.6869,-4.244
